date,province,district,subdist,province_en,district_en,subdist_en,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2016-02-01,กระบี่,อ่าวลึก,นาเหนือ,Krabi,Ao Luek,Na Nuea,307,10,1,9,32,38,1,104,502
2016-02-01,กระบี่,อ่าวลึก,เขาใหญ่,Krabi,Ao Luek,Khao Yai,253,3,0,16,80,55,2,146,555
2016-03-01,กระบี่,ปลายพระยา,คีรีวง,Krabi,Plai Phraya,Khiri Wong,160,5,2,35,87,31,1,175,496
2016-02-01,กระบี่,เขาพนม,หน้าเขา,Krabi,Khao Phanom,Na Khao,263,2,0,21,33,28,1,112,460
2016-02-01,กระบี่,อ่าวลึก,คลองยา,Krabi,Ao Luek,Khlong Ya,214,2,0,18,48,36,1,143,462
2016-03-01,กระบี่,อ่าวลึก,อ่าวลึกเหนือ,Krabi,Ao Luek,Ao Luek Nuea,367,12,2,36,136,103,1,236,893
2016-03-01,กระบี่,อ่าวลึก,อ่าวลึกใต้,Krabi,Ao Luek,Ao Luek Tai,575,10,2,33,155,108,6,439,1328
2016-03-01,กระบี่,อ่าวลึก,บ้านกลาง,Krabi,Ao Luek,Ban Klang,223,1,0,10,18,61,2,85,400
2016-03-01,กระบี่,เขาพนม,เขาดิน,Krabi,Khao Phanom,Khao Din,566,8,0,46,98,80,2,303,1103
2016-02-01,กระบี่,อ่าวลึก,คลองหิน,Krabi,Ao Luek,Khlong Hin,394,4,1,26,76,105,3,190,799
2016-02-01,กระบี่,อ่าวลึก,อ่าวลึกน้อย,Krabi,Ao Luek,Ao Luek Noi,366,5,1,26,64,35,3,148,648
2016-03-01,กระบี่,เขาพนม,สินปุน,Krabi,Khao Phanom,Sin Pun,254,5,1,32,48,60,0,260,660
2016-03-01,กระบี่,เขาพนม,พรุเตียว,Krabi,Khao Phanom,Phru Tiao,251,3,0,14,24,68,1,165,526
2016-03-01,กระบี่,เมืองกระบี่,ทับปริก,Krabi,Mueang Krabi,Thap Prik,68,2,1,4,12,27,1,31,146
2016-03-01,กระบี่,เขาพนม,เขาพนม,Krabi,Khao Phanom,Khao Phanom,186,5,1,13,49,30,0,86,370
2016-03-01,กระบี่,เมืองกระบี่,เขาคราม,Krabi,Mueang Krabi,Khao Khram,38,1,0,3,2,16,0,16,76
2016-03-01,กระบี่,เมืองกระบี่,กระบี่น้อย,Krabi,Mueang Krabi,Krabi Noi,558,7,2,22,32,69,8,341,1039
2016-03-01,กระบี่,เขาพนม,โคกหาร,Krabi,Khao Phanom,Khok Han,78,1,0,20,28,25,0,96,248
2016-03-01,กระบี่,เหนือคลอง,ห้วยยูง,Krabi,Nuea Khlong,Huai Yung,269,11,2,12,40,80,3,217,634
2016-03-01,กระบี่,เมืองกระบี่,เขาทอง,Krabi,Mueang Krabi,Khao Thong,153,2,1,19,21,58,4,138,396
2016-03-01,กระบี่,คลองท่อม,เพหลา,Krabi,Khlong Thom,Phela,351,2,0,8,34,62,3,129,589
2016-03-01,กระบี่,คลองท่อม,พรุดินนา,Krabi,Khlong Thom,Phru Din Na,412,3,2,17,48,55,3,134,674
2016-03-01,กระบี่,เหนือคลอง,โคกยาง,Krabi,Nuea Khlong,Khok Yang,640,1,0,3,16,56,1,169,886
2016-03-01,กระบี่,ลำทับ,ดินอุดม,Krabi,Lam Thap,Din Udom,51,0,1,8,16,21,1,104,202
2016-03-01,กระบี่,ลำทับ,ลำทับ,Krabi,Lam Thap,Lam Thap,329,2,1,15,91,55,2,182,677
2016-03-01,กระบี่,เมืองกระบี่,หนองทะเล,Krabi,Mueang Krabi,Nong Thale,114,5,0,17,13,33,2,154,338
2016-03-01,กระบี่,ลำทับ,ทุ่งไทรทอง,Krabi,Lam Thap,Thung Sai Thong,268,3,0,12,68,46,1,124,522
2016-03-01,กระบี่,เหนือคลอง,เหนือคลอง,Krabi,Nuea Khlong,Nuea Khlong,825,25,2,31,134,130,11,443,1601
2016-03-01,กระบี่,เมืองกระบี่,ไสไทย,Krabi,Mueang Krabi,Sai Thai,171,2,1,10,16,41,1,97,339
2016-03-01,กระบี่,เมืองกระบี่,อ่าวนาง,Krabi,Mueang Krabi,Ao Nang,81,3,2,6,7,23,1,100,223
2016-03-01,กระบี่,เมืองกระบี่,คลองประสงค์,Krabi,Mueang Krabi,Khlong Prasong,16,0,0,2,0,5,1,16,40
2016-03-01,กระบี่,เหนือคลอง,ปกาสัย,Krabi,Nuea Khlong,Pakasai,891,7,0,5,41,83,3,230,1260
2016-03-01,กระบี่,เหนือคลอง,คลองเขม้า,Krabi,Nuea Khlong,Khlong Khamao,536,6,0,16,77,53,8,223,919
2016-03-01,กระบี่,ลำทับ,ดินแดง,Krabi,Lam Thap,Din Daeng,473,7,2,32,25,76,9,342,966
2016-03-01,กระบี่,เหนือคลอง,คลองขนาน,Krabi,Nuea Khlong,Khlong Khanan,599,8,1,20,72,51,4,179,934
2016-03-01,กระบี่,คลองท่อม,คลองท่อมเหนือ,Krabi,Khlong Thom,Khlong Thom Nuea,131,3,1,25,6,49,0,112,327
2016-03-01,กระบี่,เหนือคลอง,ตลิ่งชัน,Krabi,Nuea Khlong,Taling Chan,157,4,0,7,9,10,1,72,260
2016-03-01,กระบี่,คลองท่อม,คลองท่อมใต้,Krabi,Khlong Thom,Khlong Thom Tai,758,9,0,21,25,110,7,259,1189
2016-03-01,กระบี่,คลองท่อม,ห้วยน้ำขาว,Krabi,Khlong Thom,Huai Nam Khao,291,4,1,24,16,118,4,209,667
2016-03-01,กระบี่,คลองท่อม,คลองพน,Krabi,Khlong Thom,Khlong Phon,287,6,1,31,91,96,6,264,782
2016-03-01,กระบี่,เกาะลันตา,คลองยาง,Krabi,Ko Lanta,Khlong Yang,426,7,1,10,15,25,1,98,583
2016-03-01,กระบี่,เกาะลันตา,เกาะกลาง,Krabi,Ko Lanta,Ko Klang,228,4,1,8,17,41,1,95,395
2016-03-01,กระบี่,คลองท่อม,ทรายขาว,Krabi,Khlong Thom,Sai Khao,643,17,2,9,92,77,3,268,1111
2016-04-01,กระบี่,เกาะลันตา,ศาลาด่าน,Krabi,Ko Lanta,Sala Dan,251,10,0,7,15,31,7,172,493
2016-02-01,กระบี่,ปลายพระยา,เขาต่อ,Krabi,Plai Phraya,Khao To,347,6,1,12,10,50,2,151,579
2016-03-01,กระบี่,ปลายพระยา,ปลายพระยา,Krabi,Plai Phraya,Plai Phraya,605,8,4,44,102,73,5,378,1219
2016-02-01,กระบี่,ปลายพระยา,เขาเขน,Krabi,Plai Phraya,Khao Khen,270,1,0,35,38,24,2,139,509
